City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
384,mitu,99,CO,1610145447,97,1.1983,-70.1733,71.94,2.19
385,senanga,99,ZM,1610145450,88,-16.1167,23.2667,70.39,4.21
386,chardara,0,KZ,1610145452,82,41.2547,67.9692,26.56,4.65
387,lujan,23,AR,1610145455,37,-34.5703,-59.105,84.0,5.01
388,hobyo,0,SO,1610145460,72,5.3505,48.5268,74.01,19.91
389,beisfjord,8,NO,1610145462,58,68.3751,17.5988,21.2,11.5
390,machilipatnam,5,IN,1610145465,87,16.1667,81.1333,71.31,8.55
391,ambatofinandrahana,94,MG,1610145470,96,-20.55,46.8,63.27,5.14
392,monrovia,40,LR,1610145475,94,6.3005,-10.7969,78.8,8.32
393,bandipur,65,NP,1610145477,67,27.9333,84.4167,46.83,2.55
394,banda aceh,100,ID,1610145480,79,5.5577,95.3222,77.95,4.68
395,shelburne,1,CA,1610145482,80,44.0787,-80.2041,23.0,4.61
396,matara,88,LK,1610145456,87,5.9485,80.5353,75.85,4.07
397,altay,100,CN,1610145487,78,47.8667,88.1167,2.05,0.94
398,sao felix do xingu,53,BR,1610145490,60,-6.6447,-51.995,80.35,3.78
399,nushki,0,PK,1610145493,85,29.5542,66.0215,30.34,0.58
400,borovoy,25,RU,1610145495,76,55.4333,86.0833,-16.6,6.71
401,atar,0,MR,1610145505,48,20.5169,-13.0499,67.57,3.65
402,tovuz,20,AZ,1610145508,80,40.9922,45.6289,30.2,4.61
403,paita,20,PE,1610145510,80,-5.0892,-81.1144,71.31,15.86
404,kudahuvadhoo,46,MV,1610145513,76,2.6708,72.8944,81.91,6.71
405,faya,0,SA,1610145516,58,18.3851,42.4509,51.8,5.75
406,bluefields,40,NI,1610145518,74,12.0137,-83.7635,82.4,4.61
407,bluefield,90,US,1610145521,93,37.2698,-81.2223,33.01,3.44
408,montepuez,96,MZ,1610145523,95,-13.1256,38.9997,69.64,3.74
409,carnarvon,55,AU,1610145526,78,-24.8667,113.6333,80.6,5.75
410,coihaique,40,CL,1610145528,51,-45.5752,-72.0662,59.0,12.66
411,peniche,37,PT,1610145531,57,39.3558,-9.3811,43.0,5.01
412,taltal,22,CL,1610145533,64,-25.4,-70.4833,69.82,6.13
413,zawiercie,75,PL,1610145536,93,50.4877,19.4168,30.99,6.91
414,goma,77,CD,1610145431,81,-1.6792,29.2228,63.3,3.53
415,chupa,100,RU,1610145541,96,66.27,33.0549,10.33,6.11
416,matagami,1,CA,1610145544,100,49.7502,-77.6328,8.6,2.59
417,stephenville,1,US,1610145416,53,32.2207,-98.2023,48.2,8.05
418,warangal,3,IN,1610145532,92,18.0,79.5833,63.72,7.7
419,mount darwin,100,ZW,1610145551,88,-16.7725,31.5838,70.59,3.56
420,shache,0,CN,1610145554,92,38.4167,77.2406,12.34,3.31
421,aksu,0,CN,1610145556,89,41.1231,80.2644,7.93,2.06
422,awjilah,100,LY,1610145559,44,29.1081,21.2869,60.3,6.02
423,kalisz,99,PL,1610145561,94,51.7611,18.091,28.0,2.55
424,kulhudhuffushi,100,MV,1610145564,75,6.6221,73.07,82.08,8.19
425,gangapur,72,IN,1610145566,70,26.4833,76.7167,60.35,8.43
426,polovinnoye,90,RU,1610145569,90,54.7914,65.9864,0.14,15.35
427,urumqi,90,CN,1610145333,85,43.801,87.6005,3.2,2.24
428,quatre cocos,75,MU,1610145574,88,-20.2078,57.7625,77.0,13.8
429,douentza,2,ML,1610145576,19,14.9951,-2.9517,70.54,3.11
430,teguise,40,ES,1610145516,63,29.0605,-13.564,60.8,8.05
431,lokbatan,75,AZ,1610145582,87,40.3237,49.728,44.6,11.5
432,dabakala,70,CI,1610145584,43,8.3667,-4.4333,82.83,5.95
433,akureyri,75,IS,1610145587,68,65.6835,-18.0878,23.0,12.66
434,khandbari,100,NP,1610145589,58,27.3747,87.2039,53.26,2.35
435,gouyave,20,GD,1610145592,78,12.1646,-61.7296,80.6,13.8
436,marolambo,100,MG,1610145599,91,-20.05,48.1167,70.34,0.74
437,jhelum,0,PK,1610145541,74,32.9331,73.7264,51.85,4.9
438,swellendam,0,ZA,1610145604,88,-34.0226,20.4417,62.6,4.61
439,mogadishu,67,SO,1610145607,79,2.0371,45.3438,75.34,20.69
440,ashland,90,US,1610145610,80,40.8167,-82.2665,26.6,13.8
441,nuuk,20,GL,1610145612,39,64.1835,-51.7216,23.0,27.63
442,lakhdenpokhya,97,RU,1610145615,95,61.5198,30.1992,21.99,5.91
443,antalaha,9,MG,1610145617,85,-14.9003,50.2788,74.5,3.6
444,bay roberts,88,CA,1610145620,1,47.5999,-53.2648,37.0,15.66
445,boyuibe,75,BO,1610145625,88,-20.4167,-63.2833,75.2,3.38
446,verona,0,IT,1610145627,74,45.4167,11.0333,30.99,4.61
447,malakal,0,SS,1610145630,35,9.5334,31.6605,75.45,6.64
448,ramgarh,40,IN,1610145488,77,23.6333,85.5167,66.2,4.79
449,san cristobal,40,VE,1610145635,65,7.7669,-72.225,82.4,6.91
450,nouakchott,0,MR,1610145347,88,18.0858,-15.9785,68.0,14.97
451,edgewater,75,US,1610145640,63,28.9889,-80.9023,60.8,13.8
452,agirish,61,RU,1610145643,90,61.9247,63.0231,-14.82,1.7
453,alliston,65,CA,1610145645,68,44.1501,-79.8663,23.0,5.75
